"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-03-28,2002.4105590261,2015.4543396031,1863.0106164465,1895.5028729189,18160526497.76,7.61301035241958,0.0366335820771191
2025-03-27,2008.9406101498,2037.3961435323,1987.7177510389,2002.357436246,11593274542.56,2.47286516298238,0.0548410329147648
2025-03-26,2067.5088360044,2078.3691213124,1982.4123813089,2009.1893459796,13178523590.48,4.64117677914948,0.00340612572138621
2025-03-25,2078.5679999968,2096.5183429355,2038.6445744692,2067.7642367492,11735658914.24,2.78430960480433,0.0287366144451058
2025-03-24,2005.7183843996,2101.9834344001,1978.7638019509,2077.4790642279,14044912401.69,6.14341641416849,0.00468722560275392
2025-03-23,1979.9836228541,2019.8893824676,1977.7092940604,2005.2992309006,7522339706.77,2.13032511584103,-0.0353618783419565
2025-03-22,1964.9404662231,2005.0411318183,1964.2710195567,1980.0378088165,6117036512.34,2.07487773611616,-0.0126773520814423
2025-03-21,1981.8529982473,1994.8914280445,1937.2116071852,1964.8474809995,9708125480.37,2.91039854672928,-0.0077013153891512
2025-03-20,2057.9512076438,2067.4837399502,1952.2433302258,1982.0998943118,13217865781.89,5.59976394466327,0.00874221090363836
2025-03-19,1932.5446028077,2068.7643992791,1928.2495156751,2057.7491339808,20065206265.54,7.27097751844138,0.0374558966126983
2025-03-18,1927.0057012509,1935.1819459255,1872.5088616552,1932.5434086744,10170844745.64,3.252355933852,-0.0627757683413117
2025-03-17,1887.4491655955,1951.6259387436,1880.4843522,1927.0029027556,10436892087.1,3.7691921901989,-0.00287106788083946
2025-03-16,1937.3847751486,1940.4744246466,1863.4890594037,1887.4350177086,9292997637.67,3.97367452404984,-0.0207471219466893
